region_id,fatalities,population,fatalities_per_100k,flood_risk_index
EL11,5,599723.0,0.8337182332510176,0.1220469280439972
EL12,17,1873777.0,0.907258441105852,0.14159266624600603
EL13,1,267008.0,0.37452061361457334,0.0
EL14,9,718640.0,1.2523655794278081,0.23331628212972122
EL21,3,333696.0,0.8990218642117376,0.139403524001931
EL22,2,203869.0,0.9810221269540734,0.16119780110298865
EL23,6,655189.0,0.9157662903375973,0.1438539080699904
EL24,23,555960.0,4.136988272537592,1.0
EL25,20,574447.0,3.481609269436519,0.8258113922795363
EL30,44,3742235.0,1.175767956849316,0.21295793502291374
EL41,1,221098.0,0.4522881256275498,0.020669283848472168
EL42,12,344027.0,3.488098317864586,0.8275360711382842
EL43,10,634930.0,1.574976769092656,0.3190608569434734
